,,R2.adj,Df,AIC,F,Pr(>F)
weighted_unifrac,sample_type_2,0.8739806008361549,26,-602.921065687116,173.315188066371,0.0001999600079984
weighted_unifrac,host_subject_id,0.01838046321034792,31,-676.109587399599,4.41520715483269,0.0001999600079984
weighted_unifrac,extraction_protocol,0.0032219102061522564,2,-693.9724034634351,10.0871440641089,0.0001999600079984
unweighted_unifrac,sample_type_2,0.927233614877812,26,-958.241658570471,317.60483075933996,0.0001999600079984
unweighted_unifrac,host_subject_id,0.0135363236703131,31,-1062.5971290054401,5.57076131224772,0.0001999600079984
unweighted_unifrac,extraction_protocol,0.0006133501558089893,2,-1067.53267778258,4.08157207887597,0.000599880023995201
jaccard,sample_type_2,0.940168418443652,26,-1084.8727991133999,391.422057353545,0.0001999600079984
jaccard,host_subject_id,0.013206922221672968,31,-1217.42399372945,6.665209101849901,0.0001999600079984
RPCA,sample_type_2,0.851344757460044,26,-496.04057370994497,143.29328517817498,0.0001999600079984
RPCA,host_subject_id,0.031421558212904044,31,-620.864325078231,6.360499995077469,0.0001999600079984
RPCA,extraction_protocol,0.004676999311526875,2,-645.405854723055,13.2371789561389,0.0001999600079984
